"id","L1","L2","A","C","Y"
1,1,0.695808712625876,1,0,0
2,0,0.791458018124104,0,0,1
3,1,0.700291034765542,0,0,0
4,1,0.938957212725654,1,0,0
5,0,0.0966720511205494,0,0,0
6,0,0.641833201283589,0,0,0
7,0,0.796060355380177,1,0,1
8,0,0.942291441606358,2,0,0
9,1,0.307349779643118,1,0,0
10,0,0.549181264359504,1,0,0
11,1,0.896532099694014,1,0,1
12,0,0.352395414607599,0,0,1
13,0,0.500775640597567,0,0,0
14,0,0.803761552786455,0,0,1
15,1,0.589307569665834,1,0,0
16,1,0.732936973450705,0,0,0
17,0,0.597218866227195,0,0,0
18,0,0.243826461024582,2,0,0
19,0,0.296418018173426,1,0,0
20,0,0.310006048996001,0,0,1
21,1,0.63975698989816,2,0,0
22,1,0.345580604393035,2,0,0
23,1,0.367911437060684,2,0,0
24,1,0.458125110017136,1,0,0
25,1,0.67432492156513,1,0,0
26,1,0.835403420496732,1,1,NA
27,1,0.184377342229709,1,0,1
28,0,0.519439592724666,2,0,0
29,1,0.980122516397387,2,0,0
30,0,0.521802508970723,1,0,0
31,1,0.857304849894717,1,0,1
32,1,0.164096991997212,2,0,0
33,1,0.930624087108299,2,1,NA
34,1,0.379869362805039,1,0,0
35,0,0.738611064385623,1,0,0
36,0,0.395562011981383,1,0,0
37,0,0.390617491910234,1,0,1
38,0,0.882995539577678,1,0,0
39,1,0.31543994974345,1,0,0
40,1,0.81974238040857,0,0,0
41,1,0.285846451995894,1,0,0
42,0,0.653378413291648,0,0,0
43,1,0.198993098223582,1,0,0
44,1,0.22355293482542,0,0,0
45,0,0.345245603239164,0,0,0
46,1,0.457086360780522,1,0,0
47,0,0.231067434418947,1,1,NA
48,0,0.473765986971557,0,0,0
49,0,0.483809163793921,0,0,0
50,0,0.167376640951261,0,0,0
51,0,0.691317962249741,0,0,0
52,0,0.546686872607097,1,0,0
53,0,0.0712457799818367,1,0,0
54,0,0.231539154658094,0,0,1
55,0,0.87622445053421,2,1,NA
56,0,0.913643509848043,1,0,0
57,0,0.30209911451675,1,0,0
58,1,0.917264779331163,1,0,1
59,0,0.981285226764157,1,0,0
60,1,0.685103594325483,2,0,0
61,1,0.187906415900216,2,0,0
62,1,0.0465066116303205,2,0,0
63,0,0.852237577317283,2,0,0
64,1,0.729586197296157,1,0,0
65,0,0.889386132592335,1,1,NA
66,0,0.652126749046147,2,0,0
67,0,0.0138356988318264,2,1,NA
68,0,0.558181087952107,0,0,1
69,1,0.271145609673113,1,0,0
70,1,0.595625402173027,0,0,1
71,1,0.917991068679839,1,0,0
72,1,0.402422245126218,1,0,0
73,1,0.865077349590138,1,0,0
74,1,0.97156461677514,0,0,0
75,0,0.761876282515004,1,0,0
76,1,0.449002394918352,0,0,0
77,1,0.421189104672521,1,0,0
78,1,0.0775541795883328,1,0,0
79,0,0.26503868191503,0,0,1
80,0,0.137607576092705,1,0,0
81,1,0.828381995670497,1,0,1
82,1,0.786713077453896,2,1,NA
83,0,0.503916788613424,1,0,0
84,1,0.496129141189158,1,0,1
85,0,0.111563080223277,0,0,0
86,0,0.215422231471166,0,0,1
87,0,0.583142469637096,0,1,NA
88,1,0.893384992145002,0,0,0
89,0,0.923061784124002,2,0,0
90,0,0.956161965616047,2,0,0
91,0,0.865952230989933,1,0,0
92,1,0.413369765738025,1,0,0
93,1,0.690270621795207,0,0,0
94,0,0.439529633847997,1,0,0
95,1,0.638287738198414,1,0,0
96,0,0.832171726739034,1,1,NA
97,1,0.468346286565065,1,0,0
98,0,0.14511751034297,1,0,0
99,0,0.722315935185179,1,0,1
100,1,0.242324030259624,2,0,0
101,1,0.212668150197715,1,0,0
102,1,0.387492003850639,1,0,0
103,1,0.541001898702234,1,0,0
104,0,0.340043538948521,1,0,0
105,1,0.429907272569835,0,0,0
106,1,0.713341158349067,0,0,0
107,1,0.431690452387556,1,0,0
108,0,0.559131759684533,1,0,0
109,0,0.529737217584625,2,0,0
110,0,0.0287725608795881,0,0,1
111,1,0.934047779301181,0,0,1
112,1,0.676016678800806,1,0,0
113,1,0.151398997521028,1,0,0
114,1,0.818605107488111,1,0,0
115,0,0.250033043557778,0,0,1
116,0,0.77449654857628,2,0,0
117,0,0.839764782460406,1,0,1
118,0,0.329142718110234,1,0,0
119,0,0.666495175799355,1,0,1
120,1,0.137822491582483,2,0,0
121,1,0.572021330473945,0,0,0
122,1,0.851307083386928,1,0,0
123,0,0.178686066064984,0,0,0
124,1,0.66959860175848,1,0,0
125,1,0.226925367489457,1,0,0
126,0,0.955947658745572,2,1,NA
127,0,0.601415874902159,0,0,0
128,1,0.180561968591064,1,0,0
129,1,0.72968291118741,1,0,0
130,0,0.82920512300916,2,1,NA
131,0,0.708093866938725,1,1,NA
132,0,0.57943068840541,0,0,1
133,1,0.595585544826463,2,1,NA
134,0,0.238372450927272,0,0,0
135,0,0.549665249418467,0,0,0
136,0,0.971276598516852,2,0,0
137,1,0.429670904064551,0,0,0
138,1,0.0837512058205903,1,0,0
139,0,0.108435194473714,1,0,1
140,1,0.217424268368632,1,0,0
141,0,0.770177461439744,2,0,0
142,1,0.570307249901816,1,0,0
143,1,0.971833491465077,1,0,0
144,1,0.602673620684072,1,0,0
145,0,0.535374551545829,0,0,0
146,1,0.532139582792297,1,0,0
