"id","L","A","C","Y"
1,1,0,0,0
2,1,1,1,NA
3,1,2,0,0
4,1,2,1,NA
5,0,1,0,0
6,0,0,0,1
7,0,0,1,NA
8,1,0,0,0
9,1,0,0,0
10,1,1,0,0
11,0,0,0,0
12,0,0,1,NA
13,1,1,0,0
14,0,0,0,0
15,0,0,0,0
16,0,1,0,0
17,0,1,0,0
18,0,0,0,0
19,0,1,0,1
20,1,1,0,1
21,0,0,1,NA
22,0,1,0,0
23,1,1,0,0
24,1,1,0,0
25,1,0,0,0
26,0,0,0,0
27,1,1,0,0
28,1,0,0,0
29,0,0,0,1
30,0,1,0,0
31,1,0,0,1
32,0,0,0,0
33,0,0,0,0
34,1,1,0,0
35,0,1,0,0
36,0,1,1,NA
37,1,0,0,0
38,1,0,0,0
39,1,1,0,0
40,0,1,1,NA
41,1,0,0,0
42,0,0,0,0
43,1,1,0,0
44,1,0,0,0
45,0,1,0,1
46,0,0,0,0
47,0,1,0,0
48,0,0,0,0
49,0,0,0,0
50,1,2,0,0
51,1,1,0,0
52,1,1,0,0
53,0,1,0,0
54,0,0,0,0
55,1,2,0,0
56,0,0,0,1
57,1,1,0,0
58,0,0,0,0
59,0,1,1,NA
60,0,0,0,0
61,1,1,1,NA
62,0,1,0,0
63,1,0,0,0
64,1,0,0,0
65,1,2,0,0
66,0,0,0,0
67,1,1,0,0
68,0,0,0,1
69,1,1,0,0
70,1,1,0,0
71,1,2,1,NA
72,1,1,0,0
73,0,0,1,NA
74,0,1,0,0
75,0,2,1,NA
76,1,2,0,0
77,1,1,0,0
78,1,1,0,0
79,1,0,0,0
80,0,0,0,1
81,1,1,0,0
82,1,1,0,0
83,0,1,0,1
84,0,0,0,0
85,0,0,1,NA
86,0,1,1,NA
87,1,1,0,0
88,1,1,0,0
89,1,2,0,0
90,0,0,0,0
91,1,1,0,0
92,1,0,1,NA
93,0,0,0,0
94,1,0,0,0
95,1,2,0,0
96,1,2,0,0
97,1,1,0,0
98,1,2,0,0
99,0,1,0,0
100,0,0,0,0
101,0,0,0,0
102,1,1,0,0
103,1,1,0,0
104,1,0,0,0
105,1,1,0,0
106,1,1,0,0
107,1,0,0,0
108,1,0,0,0
109,0,0,1,NA
110,0,0,0,0
111,1,0,0,0
112,0,0,0,0
113,1,1,0,0
114,0,0,0,1
115,1,2,0,0
116,1,1,0,0
117,1,2,0,0
118,1,0,0,0
119,0,0,0,0
120,0,0,0,0
121,1,1,0,0
122,1,0,0,0
123,0,0,0,1
124,1,1,0,0
125,1,1,0,0
126,1,1,0,0
127,1,1,0,0
128,0,1,0,0
129,0,0,0,0
130,1,1,0,0
131,0,1,0,0
132,1,0,0,0
133,1,2,0,0
134,1,1,0,0
